SPCC1919.11	6028	5643	6557	5811	5162	4708	4211	4752	4091	3482	1764	1717
SPCC306.10	3	0	0	0	2	1	0	1	0	0	0	2
SPCC320.12	581	642	791	644	856	549	1118	1245	1376	1234	422	434
SPCC330.09	47	68	31	36	12	13	18	18	3	0	3	0
SPCC4B3.14	337	291	333	319	216	217	436	460	355	353	176	215
SPCC4B3.17	0	0	0	0	0	0	0	0	0	0	0	0
SPCC4G3.10c	0	0	0	0	0	0	0	0	0	0	0	0
SPCC576.07	12954	13268	11090	10491	12902	10970	1557	1808	1064	1491	429	270
SPCC584.05	957	823	1051	973	1015	896	788	890	837	781	762	771
SPCC584.15c	313	314	114	236	224	233	2	10	7	11	10	5
SPCC645.07	0	0	0	1	0	0	0	0	0	0	0	0
SPCC736.05	1	5	1	2	1	0	1	2	0	1	0	1
SPCC736.12c	1326	1267	894	988	1097	1147	881	911	610	731	481	522
SPCC757.03c	776	523	386	231	442	398	268	325	590	464	402	361
SPCC794.10	451	338	271	233	298	288	587	708	558	442	353	385
SPCP25A2.02c	731	562	649	499	254	249	997	1070	1059	824	643	569
